200931 , "Clocks" , "Coldplay" , 4:10 , 6 , 24 , "Brussels" , "Belgium"
200931 , "Viva La Vida" , "Coldplay" , 4:00 , 7 , 23 , "Brussels" , "Belgium"
200931 , "Beat It" , "Michael Jackson" , 4:17 , 8 , 23 , "Brussels" , "Belgium"
200931 , "White Winter Hymnal" , "Fleet Foxes" , 2:27 , 9 , 23 , "Brussels" , "Belgium"
200931 , "That Look You Give That Guy" , "Eels" , 4:15 , 10 , 23 , "Brussels" , "Belgium"
200931 , "Heavy Cross" , "Gossip" , 4:02 , 11 , 22 , "Brussels" , "Belgium"
200931 , "Billie Jean" , "Michael Jackson" , 4:53 , 12 , 22 , "Brussels" , "Belgium"
200931 , "Walking on a Dream" , "Empire of the Sun" , 3:15 , 13 , 22 , "Brussels" , "Belgium"
200931 , "Time To Pretend" , "MGMT" , 4:22 , 14 , 20 , "Brussels" , "Belgium"
200931 , "Lisztomania" , "Phoenix" , 4:00 , 15 , 20 , "Brussels" , "Belgium"
200931 , "No Surprises" , "Radiohead" , 3:50 , 16 , 19 , "Brussels" , "Belgium"
200931 , "Ulysses" , "Franz Ferdinand" , 3:08 , 17 , 19 , "Brussels" , "Belgium"
200931 , "Jungle Drum" , "Emiliana Torrini" , 2:09 , 18 , 19 , "Brussels" , "Belgium"
200931 , "Quicksand" , "La Roux" , 3:06 , 19 , 19 , "Brussels" , "Belgium"
200931 , "Hysteria" , "Muse" , 3:47 , 20 , 19 , "Brussels" , "Belgium"
200931 , "Sex On Fire" , "Kings of Leon" , 3:25 , 1 , 20 , "Antwerp" , "Belgium"
200931 , "Use Somebody" , "Kings of Leon" , 3:50 , 2 , 19 , "Antwerp" , "Belgium"
200931 , "Bulletproof" , "La Roux" , 3:17 , 3 , 13 , "Antwerp" , "Belgium"
200931 , "Viva La Vida" , "Coldplay" , 4:00 , 4 , 12 , "Antwerp" , "Belgium"
200931 , "Skinny Love" , "Bon Iver" , 3:57 , 5 , 11 , "Antwerp" , "Belgium"
200931 , "I Bet You Look Good On The Dancefloor" , "Arctic Monkeys" , 2:55 , 6 , 11 , "Antwerp" , "Belgium"
200931 , "We Are The People" , "Empire of the Sun" , 4:29 , 7 , 11 , "Antwerp" , "Belgium"
200931 , "Time To Pretend" , "MGMT" , 4:22 , 8 , 11 , "Antwerp" , "Belgium"
200931 , "Kids" , "MGMT" , 5:03 , 9 , 11 , "Antwerp" , "Belgium"
200931 , "Uprising" , "Muse" , 3:35 , 10 , 10 , "Antwerp" , "Belgium"
200931 , "Two Weeks" , "Grizzly Bear" , 4:03 , 11 , 10 , "Antwerp" , "Belgium"
200931 , "That Look You Give That Guy" , "Eels" , 4:15 , 12 , 10 , "Antwerp" , "Belgium"
200931 , "Nantes" , "Beirut" , 3:51 , 13 , 10 , "Antwerp" , "Belgium"
200931 , "Closer" , "Kings of Leon" , 3:56 , 14 , 10 , "Antwerp" , "Belgium"
