201121 , "Sultans of Swing" , "Dire Straits" , 5:45 , 11 , 6 , "Liège" , "Belgium"
201121 , "Infinity" , "The xx" , 5:14 , 12 , 6 , "Liège" , "Belgium"
201121 , "Long Nights" , "Eddie Vedder" , 2:31 , 13 , 6 , "Liège" , "Belgium"
201121 , "Money for Nothing" , "Dire Straits" , 8:22 , 14 , 6 , "Liège" , "Belgium"
201121 , "Icon" , "Daan" , 2:52 , 15 , 6 , "Liège" , "Belgium"
201121 , "Born This Way" , "Lady Gaga" , 4:20 , 16 , 6 , "Liège" , "Belgium"
201121 , "SKY HIGH" , "Marble Sounds" , 3:37 , 17 , 5 , "Liège" , "Belgium"
201121 , "Stairway To Heaven" , "Led Zeppelin" , 8:00 , 18 , 5 , "Liège" , "Belgium"
201121 , "Karma Police" , "Radiohead" , 4:19 , 19 , 5 , "Liège" , "Belgium"
201121 , "Not Ready Yet" , "Eels" , 4:46 , 20 , 5 , "Liège" , "Belgium"
201121 , "Rolling in the Deep" , "Adele" , 3:46 , 1 , 66 , "Brussels" , "Belgium"
201121 , "Riverside" , "Agnes Obel" , 3:46 , 2 , 57 , "Brussels" , "Belgium"
201121 , "Holocene" , "Bon Iver" , 5:32 , 3 , 49 , "Brussels" , "Belgium"
201121 , "Judas" , "Lady Gaga" , 4:12 , 4 , 48 , "Brussels" , "Belgium"
201121 , "Perth" , "Bon Iver" , 4:21 , 5 , 48 , "Brussels" , "Belgium"
201121 , "Michicant" , "Bon Iver" , 3:42 , 6 , 45 , "Brussels" , "Belgium"
201121 , "Minnesota, WI" , "Bon Iver" , 3:48 , 7 , 44 , "Brussels" , "Belgium"
201121 , "Set Fire to the Rain" , "Adele" , 4:01 , 8 , 43 , "Brussels" , "Belgium"
201121 , "Towers" , "Bon Iver" , 3:05 , 9 , 43 , "Brussels" , "Belgium"
201121 , "Calgary" , "Bon Iver" , 4:09 , 10 , 43 , "Brussels" , "Belgium"
201121 , "Hinnom, TX" , "Bon Iver" , 2:44 , 11 , 42 , "Brussels" , "Belgium"
201121 , "Skinny Love" , "Bon Iver" , 3:57 , 12 , 42 , "Brussels" , "Belgium"
201121 , "Wash." , "Bon Iver" , 4:48 , 13 , 41 , "Brussels" , "Belgium"
201121 , "Lisbon, OH" , "Bon Iver" , 1:33 , 14 , 40 , "Brussels" , "Belgium"
201121 , "Ready To Start" , "Arcade Fire" , 4:14 , 15 , 38 , "Brussels" , "Belgium"
201121 , "The Suburbs" , "Arcade Fire" , 5:14 , 16 , 36 , "Brussels" , "Belgium"
201121 , "Beth / Rest" , "Bon Iver" , 5:16 , 17 , 35 , "Brussels" , "Belgium"
201121 , "Born This Way" , "Lady Gaga" , 4:20 , 18 , 35 , "Brussels" , "Belgium"
201121 , "Anyone's Ghost" , "The National" , 2:54 , 19 , 34 , "Brussels" , "Belgium"
201121 , "Flume" , "Bon Iver" , 3:33 , 20 , 34 , "Brussels" , "Belgium"
201121 , "Rolling in the Deep" , "Adele" , 3:46 , 1 , 18 , "Antwerp" , "Belgium"
201121 , "Riverside" , "Agnes Obel" , 3:46 , 2 , 15 , "Antwerp" , "Belgium"
201121 , "Just So" , "Agnes Obel" , 3:34 , 3 , 13 , "Antwerp" , "Belgium"
201121 , "Louretta" , "Agnes Obel" , 2:04 , 4 , 12 , "Antwerp" , "Belgium"
201121 , "Brother Sparrow" , "Agnes Obel" , 3:58 , 5 , 12 , "Antwerp" , "Belgium"
201121 , "Beast" , "Agnes Obel" , 3:49 , 6 , 12 , "Antwerp" , "Belgium"
201121 , "On Powdered Ground" , "Agnes Obel" , 4:06 , 7 , 11 , "Antwerp" , "Belgium"
201121 , "Wallflower" , "Agnes Obel" , 2:24 , 8 , 11 , "Antwerp" , "Belgium"
201121 , "Over The Hill" , "Agnes Obel" , 2:46 , 9 , 11 , "Antwerp" , "Belgium"
201121 , "Montezuma" , "Fleet Foxes" , 3:37 , 10 , 11 , "Antwerp" , "Belgium"
201121 , "Avenue" , "Agnes Obel" , 4:05 , 11 , 10 , "Antwerp" , "Belgium"
201121 , "Perth" , "Bon Iver" , 4:21 , 12 , 10 , "Antwerp" , "Belgium"
201121 , "Holocene" , "Bon Iver" , 5:32 , 13 , 10 , "Antwerp" , "Belgium"
201121 , "Philharmonics" , "Agnes Obel" , 3:32 , 14 , 10 , "Antwerp" , "Belgium"
201121 , "Minnesota, WI" , "Bon Iver" , 3:48 , 15 , 9 , "Antwerp" , "Belgium"
201121 , "Calgary" , "Bon Iver" , 4:09 , 16 , 9 , "Antwerp" , "Belgium"
201121 , "Judas" , "Lady Gaga" , 4:12 , 17 , 9 , "Antwerp" , "Belgium"
201121 , "Ready To Start" , "Arcade Fire" , 4:14 , 18 , 9 , "Antwerp" , "Belgium"
201121 , "Close Watch" , "Agnes Obel" , 3:58 , 19 , 9 , "Antwerp" , "Belgium"
201121 , "Sim Sala Bim" , "Fleet Foxes" , 3:14 , 20 , 9 , "Antwerp" , "Belgium"
201121 , "Perth" , "Bon Iver" , 4:21 , 1 , 5 , "Charleroi" , "Belgium"
201121 , "Skinny Love" , "Bon Iver" , 3:57 , 2 , 4 , "Charleroi" , "Belgium"
201121 , "Riverside" , "Agnes Obel" , 3:46 , 3 , 4 , "Charleroi" , "Belgium"
201121 , "Echoes" , "Jamie Woon" , 2:16 , 4 , 4 , "Charleroi" , "Belgium"
201121 , "Far Behind" , "Eddie Vedder" , 2:15 , 5 , 4 , "Charleroi" , "Belgium"
201121 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 6 , 4 , "Charleroi" , "Belgium"
