201144 , "Crystalised" , "The xx" , 3:22 , 5 , 5 , "Innsbruck" , "Austria"
201144 , "Best of You" , "Foo Fighters" , 4:15 , 6 , 5 , "Innsbruck" , "Austria"
201144 , "Paradise" , "Coldplay" , 4:38 , 7 , 5 , "Innsbruck" , "Austria"
201144 , "With or Without You" , "U2" , 4:55 , 8 , 4 , "Innsbruck" , "Austria"
201144 , "Sigh No More" , "Mumford &amp; Sons" , 4:11 , 9 , 4 , "Innsbruck" , "Austria"
201144 , "Pumped Up Kicks" , "Foster the People" , 4:00 , 10 , 4 , "Innsbruck" , "Austria"
201144 , "Wolf Pack" , "The Vaccines" , 2:23 , 11 , 4 , "Innsbruck" , "Austria"
201144 , "Hysteria" , "Muse" , 3:47 , 12 , 4 , "Innsbruck" , "Austria"
201144 , "Fix You" , "Coldplay" , 4:57 , 13 , 4 , "Innsbruck" , "Austria"
201144 , "Open Your Eyes" , "Snow Patrol" , 5:38 , 14 , 4 , "Innsbruck" , "Austria"
201144 , "Smile Like You Mean It" , "The Killers" , 3:54 , 15 , 4 , "Innsbruck" , "Austria"
201144 , "Winter Winds" , "Mumford &amp; Sons" , 3:48 , 16 , 4 , "Innsbruck" , "Austria"
201144 , "My Hero" , "Foo Fighters" , 4:20 , 17 , 4 , "Innsbruck" , "Austria"
201144 , "Ein Kompliment" , "Sportfreunde Stiller" , 3:17 , 18 , 4 , "Innsbruck" , "Austria"
201144 , "Somebody Told Me" , "The Killers" , 3:17 , 19 , 4 , "Innsbruck" , "Austria"
201144 , "Young Blood" , "The Naked and Famous" , 4:07 , 20 , 4 , "Innsbruck" , "Austria"
201144 , "Грай" , "Ляпис Трубецкой" , 4:11 , 1 , 67 , "Minsk" , "Belarus"
201144 , "The Kill" , "30 Seconds to Mars" , 3:54 , 2 , 66 , "Minsk" , "Belarus"
201144 , "Paradise" , "Coldplay" , 4:38 , 3 , 63 , "Minsk" , "Belarus"
201144 , "Smells Like Teen Spirit" , "Nirvana" , 5:02 , 4 , 60 , "Minsk" , "Belarus"
201144 , "Kings and Queens" , "30 Seconds to Mars" , 5:46 , 5 , 55 , "Minsk" , "Belarus"
201144 , "Every Teardrop Is a Waterfall" , "Coldplay" , 4:01 , 6 , 55 , "Minsk" , "Belarus"
201144 , "Closer To The Edge" , "30 Seconds to Mars" , 4:32 , 7 , 55 , "Minsk" , "Belarus"
201144 , "From Yesterday" , "30 Seconds to Mars" , 4:06 , 8 , 54 , "Minsk" , "Belarus"
201144 , "Rolling in the Deep" , "Adele" , 3:46 , 9 , 54 , "Minsk" , "Belarus"
201144 , "Night of the Hunter" , "30 Seconds to Mars" , 5:39 , 10 , 54 , "Minsk" , "Belarus"
201144 , "Charlie Brown" , "Coldplay" , 4:45 , 11 , 53 , "Minsk" , "Belarus"
201144 , "This Is War" , "30 Seconds to Mars" , 5:25 , 12 , 52 , "Minsk" , "Belarus"
201144 , "Принцесса" , "Ляпис Трубецкой" , 2:36 , 13 , 50 , "Minsk" , "Belarus"
201144 , "100 Suns" , "30 Seconds to Mars" , 1:57 , 14 , 47 , "Minsk" , "Belarus"
201144 , "Я верю" , "Ляпис Трубецкой" , 3:07 , 15 , 47 , "Minsk" , "Belarus"
201144 , "Hurts Like Heaven" , "Coldplay" , 4:02 , 16 , 47 , "Minsk" , "Belarus"
201144 , "Us Against the World" , "Coldplay" , 4:00 , 17 , 46 , "Minsk" , "Belarus"
201144 , "The Fantasy" , "30 Seconds to Mars" , 4:28 , 18 , 45 , "Minsk" , "Belarus"
201144 , "Someone Like You" , "Adele" , 4:44 , 19 , 45 , "Minsk" , "Belarus"
201144 , "Escape" , "30 Seconds to Mars" , 2:23 , 20 , 44 , "Minsk" , "Belarus"
201144 , "Only If For a Night" , "Florence + the Machine" , 4:58 , 1 , 6 , "Liège" , "Belgium"
201144 , "Major Minus" , "Coldplay" , 3:30 , 2 , 6 , "Liège" , "Belgium"
201144 , "All This and Heaven Too" , "Florence + the Machine" , 4:06 , 3 , 6 , "Liège" , "Belgium"
201144 , "Shake It Out" , "Florence + the Machine" , 4:38 , 4 , 6 , "Liège" , "Belgium"
201144 , "Never Let Me Go" , "Florence + the Machine" , 4:32 , 5 , 5 , "Liège" , "Belgium"
201144 , "Lover to Lover" , "Florence + the Machine" , 4:03 , 6 , 5 , "Liège" , "Belgium"
201144 , "What the Water Gave Me" , "Florence + the Machine" , 5:34 , 7 , 5 , "Liège" , "Belgium"
201144 , "Spectrum" , "Florence + the Machine" , 5:12 , 8 , 5 , "Liège" , "Belgium"
201144 , "No Light, No Light" , "Florence + the Machine" , 4:35 , 9 , 5 , "Liège" , "Belgium"
201144 , "Paradise" , "Coldplay" , 4:38 , 10 , 5 , "Liège" , "Belgium"
201144 , "Seven Devils" , "Florence + the Machine" , 5:04 , 11 , 5 , "Liège" , "Belgium"
201144 , "Breaking Down" , "Florence + the Machine" , 3:49 , 12 , 5 , "Liège" , "Belgium"
201144 , "Remain Nameless" , "Florence + the Machine" , 4:01 , 13 , 5 , "Liège" , "Belgium"
201144 , "Strangeness and Charm" , "Florence + the Machine" , 5:16 , 14 , 5 , "Liège" , "Belgium"
201144 , "Leave My Body" , "Florence + the Machine" , 4:34 , 15 , 5 , "Liège" , "Belgium"
201144 , "Civilization" , "Justice" , 4:11 , 16 , 5 , "Liège" , "Belgium"
201144 , "Midnight City" , "M83" , 4:04 , 17 , 5 , "Liège" , "Belgium"
201144 , "Heartlines" , "Florence + the Machine" , 5:02 , 18 , 5 , "Liège" , "Belgium"
201144 , "Fix You" , "Coldplay" , 4:57 , 19 , 4 , "Liège" , "Belgium"
201144 , "Us Against the World" , "Coldplay" , 4:00 , 20 , 4 , "Liège" , "Belgium"
201144 , "Paradise" , "Coldplay" , 4:38 , 1 , 70 , "Brussels" , "Belgium"
201144 , "Skinny Love" , "Bon Iver" , 3:57 , 2 , 55 , "Brussels" , "Belgium"
201144 , "Somebody That I Used to Know" , "Gotye" , 4:05 , 3 , 53 , "Brussels" , "Belgium"
201144 , "Charlie Brown" , "Coldplay" , 4:45 , 4 , 50 , "Brussels" , "Belgium"
201144 , "Every Teardrop Is a Waterfall" , "Coldplay" , 4:01 , 5 , 49 , "Brussels" , "Belgium"
201144 , "Midnight City" , "M83" , 4:04 , 6 , 46 , "Brussels" , "Belgium"
201144 , "Hurts Like Heaven" , "Coldplay" , 4:02 , 7 , 45 , "Brussels" , "Belgium"
201144 , "Video Games" , "Lana Del Rey" , 4:42 , 8 , 45 , "Brussels" , "Belgium"
