201036 , "Smooth Flavours" , "Novastar" , 3:37 , 19 , 2 , "Charleroi" , "Belgium"
201036 , "Charlie" , "Red Hot Chili Peppers" , 4:37 , 20 , 2 , "Charleroi" , "Belgium"
201036 , "Little Faith" , "The National" , 4:37 , 1 , 3 , "Ghent" , "Belgium"
201036 , "All of the Ways" , "Interpol" , 5:15 , 2 , 3 , "Ghent" , "Belgium"
201036 , "Lemonworld" , "The National" , 3:23 , 3 , 3 , "Ghent" , "Belgium"
201036 , "Barricade" , "Interpol" , 4:09 , 4 , 3 , "Ghent" , "Belgium"
201036 , "Lights" , "Interpol" , 5:36 , 5 , 3 , "Ghent" , "Belgium"
201036 , "Conversation 16" , "The National" , 4:17 , 6 , 3 , "Ghent" , "Belgium"
201036 , "Say You Miss Me" , "Wilco" , 4:07 , 7 , 3 , "Ghent" , "Belgium"
201036 , "Try It On" , "Interpol" , 3:39 , 8 , 3 , "Ghent" , "Belgium"
201036 , "The Undoing" , "Interpol" , 5:10 , 9 , 3 , "Ghent" , "Belgium"
201036 , "Wasted Hours" , "Arcade Fire" , 3:19 , 10 , 3 , "Ghent" , "Belgium"
201036 , "Safe Without" , "Interpol" , 4:38 , 11 , 3 , "Ghent" , "Belgium"
201036 , "Insight" , "Joy Division" , 4:23 , 12 , 3 , "Ghent" , "Belgium"
201036 , "Tighten Up" , "The Black Keys" , 3:31 , 13 , 3 , "Ghent" , "Belgium"
201036 , "I Swallowed Hard, Like I Understood" , "65daysofstatic" , 5:26 , 14 , 3 , "Ghent" , "Belgium"
201036 , "Summer Well" , "Interpol" , 4:02 , 15 , 3 , "Ghent" , "Belgium"
201036 , "Airbag" , "Radiohead" , 4:46 , 16 , 3 , "Ghent" , "Belgium"
201036 , "The Suburbs" , "Arcade Fire" , 5:14 , 17 , 3 , "Ghent" , "Belgium"
201036 , "Karma Police" , "Radiohead" , 4:19 , 18 , 3 , "Ghent" , "Belgium"
